"BreedName","AltBreedName","LapCat","Fur","MaleWtKg","Temperment","AvgKittenPrice","MalaysiaPopularity","PopularityUS2017"
"Abyssinian",NA,"Lap","Short",4,"Active, Energetic, Independent, Intelligent, Gentle",1050,NA,7
"American Curl",NA,"Lap","Medium",4,"Affectionate, Curious, Intelligent, Interactive, Lively, Playful, Social",1400,NA,26
"American Shorthair",NA,"Lap","Short",6,"Active, Curious, Easygoing, Playful, Calm",900,5,6
"American Wirehair",NA,"Lap","Medium",6,"Affectionate, Curious, Gentle, Intelligent, Interactive, Lively, Loyal, Playful, Sensible, Social",1000,NA,41
"Applehead Siamese",NA,"Lap","Short",6,"Active, Agile, Clever, Sociable, Loving, Energetic",1600,NA,NA
"Balinese",NA,"Non Lap","Long",4,"Affectionate, Intelligent, Playful",1300,NA,31
"Bengal",NA,"Non Lap","Medium",6,"Active, Agile, Lively, Affectionate, Energetic, Rambunctious",1250,8,NA
"Birman",NA,"Lap","Long",5,"Affectionate, Active, Gentle, Social",850,NA,15
"Bobtail",NA,"Lap","Medium",6,"Intelligent, Interactive, Lively, Playful, Sensitive",800,NA,36
"Bombay",NA,"Lap","Short",4,"Affectionate, Dependent, Gentle, Intelligent, Playful",500,NA,34
"British Shorthair",NA,"Lap","Short",7,"Affectionate, Easygoing, Gentle, Loyal, Patient, Calm",1750,6,5
"Burmese",NA,"Lap","Short",5,"Curious, Intelligent, Gentle, Social, Interactive, Playful, Lively",1250,4,16
"Burmilla",NA,"Lap","Long",5,"Easygoing, Friendly, Intelligent, Lively, Playful, Social",600,NA,38
"Calico",NA,"Generic","Short",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Canadian Hairless",NA,"Lap","Bald",5,"Loyal, Inquisitive, Friendly, Quiet, Gentle",1450,NA,8
"Chartreux",NA,"Lap","Short",6,"Affectionate, Loyal, Intelligent, Social, Lively, Playful",1250,NA,27
"Chausie",NA,"Non Lap","Short",5,"Affectionate, Intelligent, Playful, Social",1500,NA,NA
"Chinchilla",NA,"Rodent","Short",1,"Active, Playful",200,NA,NA
"Cornish Rex",NA,"Lap","Short",3,"Affectionate, Intelligent, Active, Curious, Playful",1000,NA,11
"Cymric",NA,"Lap","Long",5,"Gentle, Loyal, Intelligent, Playful",400,NA,NA
"Devon Rex",NA,"Lap","Short",3,"Intelligent, Active, Mischevious, Playful",800,NA,12
"Dilute Calico",NA,"Generic","Short",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Dilute Tortoiseshell",NA,"Generic","Short",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Domestic Long Hair",NA,"Generic","Long",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Domestic Medium Hair",NA,"Generic","Medium",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Domestic Short Hair",NA,"Generic","Short",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Egyptian Mau",NA,"Lap","Medium",5,"Agile, Dependent, Gentle, Intelligent, Lively, Loyal, Playful",800,NA,20
"Exotic Shorthair",NA,"Lap","Short",5,"Affectionate, Sweet, Loyal, Quiet, Peaceful",1750,2,1
"Extra-Toes Cat (Hemingway Polydactyl)",NA,"Lap","Medium",5,"Six-Toed",2000,NA,NA
"Havana",NA,"Lap","Medium",4,"Affectionate, Curious, Demanding, Friendly, Intelligent, Playful",900,NA,35
"Himalayan",NA,"Lap","Long",6,"Dependent, Gentle, Intelligent, Quiet, Social",800,NA,NA
"Japanese Bobtail",NA,"Lap","Long",4,"Active, Agile, Clever, Easygoing, Intelligent, Lively, Loyal, Playful, Social",800,NA,24
"Javanese",NA,"Non Lap","Medium",4,"Active, Devoted, Intelligent, Playful",1200,NA,NA
"Korat",NA,"Lap","Long",4,"Affectionate, Friendly, Gentle, Intelligent, Playful, Quiet",600,NA,40
"LaPerm",NA,"Lap","Long",4,"Intelligent, Clever, Active, Genlte",500,NA,39
"Maine Coon",NA,"Lap","Long",7,"Adaptable, Intelligent, Loving, Gentle, Independent",1600,1,3
"Manx",NA,"Lap","Short",5,"Easygoing, Intelligent, Loyal, Playful, Social",500,NA,23
"Munchkin",NA,"Lap","Medium",3,"Agile, Easygoing, Intelligent, Playful",1500,NA,NA
"Nebelung",NA,"Lap","Long",4,"Gentle, Quiet, Shy, Playful",500,NA,NA
"Norwegian Forest Cat",NA,"Non Lap","Long",6,"Sweet, Active, Intelligent, Social, Playful, Lively, Curious",1000,9,14
"Ocicat",NA,"Non Lap","Short",6,"Active, Agile, Curious, Demanding, Friendly, Gentle, Lively, Playful, Social",850,NA,21
"Oriental Long Hair",NA,"Lap","Long",4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,NA,13
"Oriental Short Hair",NA,"Lap","Short",4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,NA,13
"Oriental Tabby",NA,"Lap","Medium",4,"Energetic, Affectionate, Intelligent, Social, Playful, Curious",1150,NA,13
"Persian",NA,"Lap","Long",6,"Affectionate, Loyal, Sedate, Quiet",1250,3,2
"Pixie-Bob",NA,"Lap","Medium",6,"Affectionate, Social, Intelligent, Loyal",700,NA,NA
"Ragamuffin",NA,"Lap","Medium",7,"Affectionate, Friendly, Gentle, Calm",1000,NA,32
"Ragdoll",NA,"Lap","Long",7,"Affectioante, Friendly, Gentle, Quiet, Easygoing",1000,7,4
"Russian Blue",NA,"Lap","Short",4,"Active, Dependent, Easygoing, Gentle, Intelligent, Loyal, Playful, Quiet",700,NA,19
"Scottish Fold",NA,"Non Lap","Short",4,"Affectionate, Intelligent, Loyal, Playful, Social, Sweet, Loving",1250,10,10
"Selkirk Rex",NA,"Lap","Long",6,"Active, Affectionate, Dependent, Gentle, Patient, Playful, Quiet, Social",1150,NA,25
"Siamese",NA,"Lap","Short",6,"Active, Agile, Clever, Sociable, Loving, Energetic",500,NA,9
"Siberian",NA,"Non Lap","Long",6,"Intelligent, Loyal, Quiet, Active",1000,NA,NA
"Silver",NA,"Generic","Short",6,"Active, Curious, Easygoing, Playful, Calm",100,NA,NA
"Singapura",NA,"Lap","Short",3,"Affectionate, Curious, Easygoing, Intelligent, Interactive, Lively, Loyal",1150,NA,22
"Snowshoe",NA,"Lap","Short",5,"Affectionate, Social, Intelligent, Sweet-tempered",800,NA,NA
"Somali",NA,"Non Lap","Long",5,"Mischevious, Tenacious, Intelligent, Affectionate, Gentle, Interactive, Loyal",1250,NA,28
"Sphynx (hairless cat)","Sphynx","Lap","Bald",5,"Loyal, Inquisitive, Friendly, Quiet, Gentle",1450,NA,8
